suburb,Year,House price,Vacant Price,Unit price
TARNEIT,2019,555000,299000,388000
TATURA,2015,233000,95000,197500
TATURA,2016,228000,105000,184500
TATURA,2017,262000,112500,180000
TATURA,2018,250000,125000,195000
TATURA,2019,276500,146000,221000
TORQUAY,2015,620000,250000,472000
TORQUAY,2016,665000,268000,485000
TORQUAY,2017,720000,295000,599000
TORQUAY,2018,810000,358500,660000
TORQUAY,2019,820000,418000,615000
TRAFALGAR,2015,310000,140000,235000
TRAFALGAR,2016,312500,147500,250000
TRAFALGAR,2017,333500,147000,275000
TRAFALGAR,2018,375000,195000,297500
TRAFALGAR,2019,397500,215000,310000
TRARALGON,2015,273000,152500,209000
TRARALGON,2016,268500,150000,225000
TRARALGON,2017,288500,143000,205000
TRARALGON,2018,298000,138000,213500
TRARALGON,2019,325000,139000,215000
TRUGANINA,2015,391000,229000,325000
TRUGANINA,2016,430000,254500,334000
TRUGANINA,2017,519500,285000,408000
TRUGANINA,2018,574500,325000,430000
TRUGANINA,2019,575000,331000,415000
WALLAN,2015,362000,150500,263000
WALLAN,2016,375000,155000,277000
WALLAN,2017,425000,185000,310000
WALLAN,2018,490000,245000,330000
WALLAN,2019,477500,231000,360000
WALLAN EAST,2015,309500,148000,245000
WALLAN EAST,2016,352500,153000,277000
WALLAN EAST,2017,410000,159000,322000
WALLAN EAST,2018,489000,255000,376500
WALLAN EAST,2019,450000,250000,358000
WANGARATTA,2015,272000,131000,210000
WANGARATTA,2016,270500,132000,202000
WANGARATTA,2017,270000,151000,190000
WANGARATTA,2018,320000,162000,202500
WANGARATTA,2019,319000,147000,229500
WANTIRNA SOUTH,2015,829000,505000,485000
WANTIRNA SOUTH,2016,875000,465000,501500
WANTIRNA SOUTH,2017,1005000,516500,510000
WANTIRNA SOUTH,2018,1000000,572500,520000
WANTIRNA SOUTH,2019,988500,605000,495000
WARRAGUL,2015,342000,143000,242500
WARRAGUL,2016,340000,149000,263000
WARRAGUL,2017,364000,170000,290000
WARRAGUL,2018,449000,201500,312500
WARRAGUL,2019,460000,215000,300000
WARRNAMBOOL,2015,330000,140000,255000
WARRNAMBOOL,2016,320000,150000,252500
WARRNAMBOOL,2017,330000,150000,257000
WARRNAMBOOL,2018,350000,149000,252000
WARRNAMBOOL,2019,370000,155000,280000
WENDOUREE,2015,250000,131000,209000
WENDOUREE,2016,252500,150000,240000
WENDOUREE,2017,267500,145000,232500
WENDOUREE,2018,326000,135000,225000
WENDOUREE,2019,335000,150000,270000
WERRIBEE,2015,335000,191500,287500
WERRIBEE,2016,403000,208000,305000
WERRIBEE,2017,470000,253000,360000
WERRIBEE,2018,510000,298000,390000
WERRIBEE,2019,510000,285000,380000
WERRIBEE SOUTH,2015,680000,345000,589000
WERRIBEE SOUTH,2016,519000,389000,432000
WERRIBEE SOUTH,2017,620000,388500,480000
WERRIBEE SOUTH,2018,735000,402000,420000
WERRIBEE SOUTH,2019,744500,372000,465000
WEST WODONGA,2015,306000,133000,198000
WEST WODONGA,2016,308500,130000,205000
WEST WODONGA,2017,321000,129000,208000
WEST WODONGA,2018,321000,136000,215000
WEST WODONGA,2019,342500,139500,235000
WHITE HILLS,2015,297500,135000,210000
WHITE HILLS,2016,305000,145000,295000
WHITE HILLS,2017,300000,157500,260000
WHITE HILLS,2018,313500,160500,299000
WHITE HILLS,2019,330000,157000,255000
WILLIAMSTOWN NORTH,2015,862500,451000,489500
WILLIAMSTOWN NORTH,2016,1135500,451000,548000
WILLIAMSTOWN NORTH,2017,1024000,522500,531500
WILLIAMSTOWN NORTH,2018,860000,513000,577000
WILLIAMSTOWN NORTH,2019,915000,513000,737500
WINCHELSEA,2015,262000,127500,292000
WINCHELSEA,2016,267000,158000,280000
WINCHELSEA,2017,357000,168000,315000
WINCHELSEA,2018,391000,178000,316000
WINCHELSEA,2019,430000,196500,348000
WODONGA,2015,295000,124000,188500
WODONGA,2016,315000,135000,206000
WODONGA,2017,341500,141000,240000
WODONGA,2018,350000,146000,233500
WODONGA,2019,330500,152500,221500
WOLLERT,2015,430000,217000,339000
WOLLERT,2016,460000,233000,390000
WOLLERT,2017,530000,265000,420000
WOLLERT,2018,570000,309000,406000
WOLLERT,2019,577500,306500,420000
WONTHAGGI,2015,260000,132000,215000
WONTHAGGI,2016,265000,135000,257000
WONTHAGGI,2017,289000,145000,260000
WONTHAGGI,2018,339000,145000,306500
WONTHAGGI,2019,375000,148500,315000
WOODEND,2015,482500,230500,422000
WOODEND,2016,460000,235000,430000
WOODEND,2017,560000,280000,560000
WOODEND,2018,665000,375500,470000
WOODEND,2019,747500,397500,516000
WYNDHAM VALE,2015,325000,174000,240000
WYNDHAM VALE,2016,365000,198000,211000
WYNDHAM VALE,2017,436000,226000,254500
WYNDHAM VALE,2018,480000,285500,371000
WYNDHAM VALE,2019,465000,278000,378000
YARRAWONGA,2015,300500,110000,228000
YARRAWONGA,2016,320000,118500,232500
YARRAWONGA,2017,324500,130000,236000
YARRAWONGA,2018,345000,158000,248000
YARRAWONGA,2019,375000,160000,275000
