suburb,Year,House price,Vacant Price,Unit price
CORIO,2018,370000,174500,295000
CORIO,2019,354000,217500,310000
COWES,2015,417500,149000,305000
COWES,2016,402500,150500,290000
COWES,2017,437500,157500,305000
COWES,2018,540000,170000,310000
COWES,2019,560000,295000,350000
CRAIGIEBURN,2015,390000,230000,339500
CRAIGIEBURN,2016,425000,248000,349000
CRAIGIEBURN,2017,502500,303500,366000
CRAIGIEBURN,2018,547000,348000,393000
CRAIGIEBURN,2019,530000,335000,380000
CRANBOURNE,2015,360000,214000,281500
CRANBOURNE,2016,406000,210500,285000
CRANBOURNE,2017,510000,325000,358500
CRANBOURNE,2018,540000,382000,400000
CRANBOURNE,2019,500000,346000,362500
CRANBOURNE EAST,2015,437000,211000,379000
CRANBOURNE EAST,2016,460000,232000,379000
CRANBOURNE EAST,2017,535000,295000,418500
CRANBOURNE EAST,2018,574000,345000,440000
CRANBOURNE EAST,2019,565000,288000,427500
CRANBOURNE NORTH,2015,410000,249000,330500
CRANBOURNE NORTH,2016,455000,269000,375000
CRANBOURNE NORTH,2017,541000,284000,405000
CRANBOURNE NORTH,2018,600000,300000,407500
CRANBOURNE NORTH,2019,570000,369000,425000
CRANBOURNE WEST,2015,350000,221000,316000
CRANBOURNE WEST,2016,410000,236000,379000
CRANBOURNE WEST,2017,510500,292000,405000
CRANBOURNE WEST,2018,540000,295000,390000
CRANBOURNE WEST,2019,520000,247000,385000
CRESWICK,2015,265000,109500,129000
CRESWICK,2016,292500,125500,221000
CRESWICK,2017,310000,110000,212000
CRESWICK,2018,330000,125000,291500
CRESWICK,2019,345000,133000,307500
CROYDON,2015,605000,425000,449000
CROYDON,2016,695000,357500,500000
CROYDON,2017,810000,400000,560000
CROYDON,2018,787500,350000,580000
CROYDON,2019,732500,326000,567000
DARLEY,2015,377500,151500,278500
DARLEY,2016,371500,182000,273000
DARLEY,2017,430000,170000,318500
DARLEY,2018,505000,289000,311000
DARLEY,2019,520000,315000,310000
DAYLESFORD,2015,442500,150000,325000
DAYLESFORD,2016,464000,162500,351000
DAYLESFORD,2017,502000,170000,385000
DAYLESFORD,2018,550000,241000,417500
DAYLESFORD,2019,590000,210000,535500
DIAMOND CREEK,2015,580000,375000,500000
DIAMOND CREEK,2016,646500,400000,585000
DIAMOND CREEK,2017,755000,430500,594500
DIAMOND CREEK,2018,782500,425000,601000
DIAMOND CREEK,2019,751500,427000,661000
DONCASTER,2015,1176000,795000,577000
DONCASTER,2016,1297500,907500,572500
DONCASTER,2017,1380000,1005000,599000
DONCASTER,2018,1300000,995000,581000
DONCASTER,2019,1251500,995000,620000
DOREEN,2015,440000,199000,135500
DOREEN,2016,470500,210000,379000
DOREEN,2017,550000,245000,365500
DOREEN,2018,601000,328000,442500
DOREEN,2019,597500,318000,430000
DROMANA,2015,552000,294000,400000
DROMANA,2016,583000,420000,525000
DROMANA,2017,690000,475000,521000
DROMANA,2018,785500,557500,680000
DROMANA,2019,715500,405000,585000
DROUIN,2015,320000,125000,247500
DROUIN,2016,347000,136500,250500
DROUIN,2017,390000,165000,285000
DROUIN,2018,455000,210000,330000
DROUIN,2019,440000,205000,334000
DRYSDALE,2015,410000,164000,303000
DRYSDALE,2016,409000,157000,325000
DRYSDALE,2017,436000,180000,309000
DRYSDALE,2018,510000,225000,382500
DRYSDALE,2019,572500,240000,392500
EAGLEHAWK,2015,283000,115000,237500
EAGLEHAWK,2016,270000,108000,220000
EAGLEHAWK,2017,295000,100000,228000
EAGLEHAWK,2018,315000,102000,225000
EAGLEHAWK,2019,321500,114000,242000
EAST BENDIGO,2015,300000,200000,270000
EAST BENDIGO,2016,303500,185000,325000
EAST BENDIGO,2017,335000,236500,337000
EAST BENDIGO,2018,318000,216000,322000
EAST BENDIGO,2019,390000,175500,331000
ECHUCA,2015,300000,140000,255000
ECHUCA,2016,310000,144500,278000
ECHUCA,2017,320000,150500,283000
ECHUCA,2018,365000,154000,278000
ECHUCA,2019,370000,150500,269000
EPPING,2015,400000,220000,344000
EPPING,2016,455000,275000,349000
EPPING,2017,557500,245000,375000
EPPING,2018,600000,317000,370000
EPPING,2019,550000,240000,400000
EPSOM,2015,340000,125000,260000
EPSOM,2016,340000,118000,272500
EPSOM,2017,352000,116500,275000
EPSOM,2018,357000,133000,291000
EPSOM,2019,371500,134000,305000
EUMEMMERRING,2015,408500,315000,325000
EUMEMMERRING,2016,450500,315000,341000
EUMEMMERRING,2017,517500,315000,492500
EUMEMMERRING,2018,622000,321500,414000
EUMEMMERRING,2019,540000,321500,430000
FERNTREE GULLY,2015,599000,415000,430000
FERNTREE GULLY,2016,660000,370000,510000
FERNTREE GULLY,2017,749000,400000,555000
FERNTREE GULLY,2018,732500,520000,599000
FERNTREE GULLY,2019,692000,402000,537500
FLORA HILL,2015,321000,181500,225000
FLORA HILL,2016,325000,155000,240000
FLORA HILL,2017,335000,225000,250000
FLORA HILL,2018,352500,155000,247500
FLORA HILL,2019,370000,185000,244500
FOSTER,2015,325000,132000,248000
FOSTER,2016,315000,165000,260000
FOSTER,2017,320000,142500,200000
FOSTER,2018,333500,111000,200000
FOSTER,2019,325000,123500,180000
GISBORNE,2015,550000,245000,435000
GISBORNE,2016,635000,286000,447500
GISBORNE,2017,655000,297500,450000
GISBORNE,2018,770000,410000,507500
GISBORNE,2019,730000,415000,510000
GOLDEN SQUARE,2015,306000,178500,245000
GOLDEN SQUARE,2016,315000,175000,250000
GOLDEN SQUARE,2017,320000,173500,272000
GOLDEN SQUARE,2018,334000,139500,250000
GOLDEN SQUARE,2019,340000,150500,277000
GREENVALE,2015,500000,260000,385000
GREENVALE,2016,510000,292000,395000
GREENVALE,2017,650000,342000,427500
GREENVALE,2018,720000,426000,485000
GREENVALE,2019,715000,372000,561500
GROVEDALE,2015,370000,200000,275000
GROVEDALE,2016,400000,195000,302500
GROVEDALE,2017,432000,255000,330000
GROVEDALE,2018,495000,329000,359000
GROVEDALE,2019,505000,322500,399000
HAMILTON,2015,200000,88000,207000
HAMILTON,2016,217000,98000,195000
HAMILTON,2017,190000,76500,175000
HAMILTON,2018,225000,91000,168000
HAMILTON,2019,208500,83000,187500
HASTINGS,2015,365000,232500,295000
HASTINGS,2016,400000,249000,320000
HASTINGS,2017,507500,250000,340000
HASTINGS,2018,519500,268000,450000
HASTINGS,2019,506000,285000,390000
HEALESVILLE,2015,445000,190000,360000
HEALESVILLE,2016,457000,247500,407500
HEALESVILLE,2017,550000,310000,435500
HEALESVILLE,2018,601000,300000,450000
HEALESVILLE,2019,579500,332500,475000
HERNE HILL,2015,368500,248000,213000
HERNE HILL,2016,402000,190000,226000
HERNE HILL,2017,490000,313000,260000
HERNE HILL,2018,550000,285000,277500
HERNE HILL,2019,534000,355000,290000
HIGHTON,2015,505000,250000,334000
HIGHTON,2016,555000,260000,358000
HIGHTON,2017,622500,260000,337500
HIGHTON,2018,681000,284000,390000
HIGHTON,2019,690000,300000,424000
HOPPERS CROSSING,2015,365500,350000,290000
HOPPERS CROSSING,2016,415000,340000,305000
HOPPERS CROSSING,2017,516000,427500,370000
HOPPERS CROSSING,2018,552000,445000,387500
HOPPERS CROSSING,2019,528500,458500,400000
HORSHAM,2015,240000,105000,212500
HORSHAM,2016,245000,102000,227500
HORSHAM,2017,262500,116000,259500
HORSHAM,2018,255000,112000,248500
HORSHAM,2019,269000,115000,220000
INVERLOCH,2015,425000,200000,317000
INVERLOCH,2016,442500,205000,365000
INVERLOCH,2017,495000,259000,360000
INVERLOCH,2018,598000,260000,487500
INVERLOCH,2019,592500,290000,515000
IRYMPLE,2015,268000,115000,230000
IRYMPLE,2016,255000,99500,165000
IRYMPLE,2017,291000,115000,207500
IRYMPLE,2018,310000,131500,191500
IRYMPLE,2019,380000,129000,135000
KANGAROO FLAT,2015,303000,135500,240500
KANGAROO FLAT,2016,300000,140000,237500
KANGAROO FLAT,2017,310000,135000,213500
KANGAROO FLAT,2018,325000,139000,237500
KANGAROO FLAT,2019,340000,136000,240000
KEYSBOROUGH,2015,559500,370000,511000
KEYSBOROUGH,2016,650000,553000,490000
KEYSBOROUGH,2017,745000,565000,551000
KEYSBOROUGH,2018,768000,555000,577500
KEYSBOROUGH,2019,740000,542000,590500
KILMORE,2015,336500,105000,255000
KILMORE,2016,333000,112500,275000
KILMORE,2017,387500,127500,275000
KILMORE,2018,440000,220000,315000
KILMORE,2019,435000,230000,335000
KOO WEE RUP,2015,345000,200000,270000
KOO WEE RUP,2016,400000,225000,277500
KOO WEE RUP,2017,450000,254000,361500
KOO WEE RUP,2018,510000,299000,372500
KOO WEE RUP,2019,550000,300000,415000
KORUMBURRA,2015,262500,110000,198000
KORUMBURRA,2016,257500,123000,210000
KORUMBURRA,2017,292000,129000,221500
KORUMBURRA,2018,317500,150000,259000
KORUMBURRA,2019,319000,180000,311000
KURUNJANG,2015,289500,130000,261000
KURUNJANG,2016,310000,132500,250000
KURUNJANG,2017,370000,150500,309000
KURUNJANG,2018,435500,215000,360000
KURUNJANG,2019,420500,240000,372000
KYABRAM,2015,240000,110000,160000
KYABRAM,2016,234000,115000,199000
KYABRAM,2017,239000,115000,220000
KYABRAM,2018,261000,114000,227000
KYABRAM,2019,263000,124000,205000
KYNETON,2015,425500,178500,325000
KYNETON,2016,455000,195000,360500
KYNETON,2017,495000,211000,389000
KYNETON,2018,550000,230000,408000
KYNETON,2019,595000,330000,420000
LAKES ENTRANCE,2015,255500,79500,250000
LAKES ENTRANCE,2016,280000,98000,252500
LAKES ENTRANCE,2017,281500,101000,265000
LAKES ENTRANCE,2018,328000,96500,257000
LAKES ENTRANCE,2019,310000,96500,220000
LALOR,2015,445000,282500,327000
LALOR,2016,499500,330000,375500
LALOR,2017,625500,405000,440500
LALOR,2018,625000,506000,430000
LALOR,2019,590500,495000,442000
LANGWARRIN,2015,450000,250000,316500
LANGWARRIN,2016,503000,371000,356500
LANGWARRIN,2017,600000,297500,431000
LANGWARRIN,2018,642500,353500,460000
LANGWARRIN,2019,617500,340000,450500
LARA,2015,348000,195000,300000
LARA,2016,355000,194000,294000
LARA,2017,430000,225000,320000
LARA,2018,515000,365000,353000
LARA,2019,495000,415000,377500
LEONGATHA,2015,305000,140500,292500
LEONGATHA,2016,305000,152500,276000
LEONGATHA,2017,320000,135000,267500
LEONGATHA,2018,360000,155000,265000
LEONGATHA,2019,367000,144000,247500
LEOPOLD,2015,365000,176500,285000
LEOPOLD,2016,407000,179000,308000
LEOPOLD,2017,447000,216500,308500
LEOPOLD,2018,500500,245000,360000
LEOPOLD,2019,510000,250000,391500
LILYDALE,2015,534000,290000,400000
LILYDALE,2016,633500,388000,440000
LILYDALE,2017,710500,352500,464000
LILYDALE,2018,708000,510000,525500
LILYDALE,2019,680000,470000,500000
LONGWARRY,2015,307000,123000,252500
LONGWARRY,2016,335000,134000,270500
LONGWARRY,2017,378000,160000,308000
LONGWARRY,2018,408500,200000,347500
LONGWARRY,2019,405000,227500,330000
LYNBROOK,2015,500000,225000,370000
LYNBROOK,2016,542500,326000,421000
LYNBROOK,2017,595000,320000,450000
LYNBROOK,2018,640000,250000,244000
LYNBROOK,2019,623000,505000,535000
MADDINGLEY,2015,332500,156000,288000
MADDINGLEY,2016,346000,153000,299000
MADDINGLEY,2017,395000,174000,316500
MADDINGLEY,2018,442000,206000,379000
MADDINGLEY,2019,460000,229500,365000
MAFFRA,2015,230000,109000,214000
MAFFRA,2016,258000,111500,227000
MAFFRA,2017,251500,113000,225000
MAFFRA,2018,261500,109000,205000
MAFFRA,2019,255000,117500,220000
MANSFIELD,2015,367500,160000,275000
MANSFIELD,2016,359000,180000,200000
MANSFIELD,2017,385000,172500,247500
MANSFIELD,2018,430000,174000,334000
MANSFIELD,2019,456000,170000,340000
MARYBOROUGH,2015,192500,76000,193500
MARYBOROUGH,2016,206500,90000,219000
MARYBOROUGH,2017,194000,85000,215000
MARYBOROUGH,2018,229500,83000,227500
MARYBOROUGH,2019,235500,99000,208000
MELTON SOUTH,2015,260000,150000,221500
MELTON SOUTH,2016,275500,160000,230000
MELTON SOUTH,2017,377000,187000,280000
MELTON SOUTH,2018,417000,222000,320000
MELTON SOUTH,2019,390000,244500,299500
MERNDA,2015,410000,191000,315000
MERNDA,2016,430000,217000,317500
MERNDA,2017,525500,244000,355000
MERNDA,2018,573500,329500,385000
MERNDA,2019,552000,288500,385500
METUNG,2015,299000,65000,311000
METUNG,2016,360000,65000,225000
METUNG,2017,347500,126500,212500
METUNG,2018,371500,120000,265000
METUNG,2019,425000,115000,292500
MILDURA,2015,252000,95500,163000
MILDURA,2016,260000,96000,182000
MILDURA,2017,264000,108000,190000
MILDURA,2018,281500,129000,225000
MILDURA,2019,310000,135000,220000
